
===============================================================
  LISTADO DE PROPIEDADES DE HUBSPOT
===============================================================


===============================================================
  CONTACTOS (Clientes/Usuarios)
===============================================================

Total propiedades: 482
  - Propiedades por defecto: 482
  - Propiedades custom: 0

PROPIEDADES POR DEFECTO:
------------------------------------------------
NOMBRE INTERNO (API)                     | ETIQUETA (LABEL)                         | TIPO            | GRUPO
hs_v2_latest_time_in_70679883            | Latest time in "Lead de ventas (Pipeline | number          | contactlcs
hs_v2_latest_time_in_70680909            | Latest time in "Prospecto (Pipeline de e | number          | contactlcs
hs_v2_latest_time_in_70680910            | Latest time in "Lead (Pipeline de etapa  | number          | contactlcs
hs_v2_latest_time_in_70713679            | Latest time in "Lead calificado (Pipelin | number          | contactlcs
hs_v2_latest_time_in_81340338            | Latest time in "Clientes (Pipeline de et | number          | contactlcs
hs_was_imported                          | Performed in an import                   | bool            | contactinformation
hs_whatsapp_phone_number                 | WhatsApp Phone Number                    | string          | contactinformation
hubspot_owner_assigneddate               | Owner assigned date                      | datetime        | sales_properties
hubspot_owner_id                         | Contact owner                            | enumeration     | sales_properties
hubspot_team_id                          | HubSpot Team                             | enumeration     | sales_properties
hubspotscore                             | HubSpot Score                            | number          | sales_properties
id_campana_fb                            | ID Campaña FB                           | string          | contactinformation
id_inventario_xante                      | ID Inventario Xante                      | string          | contactinformation
iipo_de_visita_                          | ¿Tipo de visita?*                       | enumeration     | contactinformation
indcanos_tu_opcin_de_financiamiento      | Indícanos tu opción de financiamiento  | string          | lead_ads
industry                                 | Industry                                 | string          | contactinformation
interesado_en_convenio                   | Interesado en convenio                   | enumeration     | contactinformation
ip_city                                  | IP City                                  | string          | conversioninformation
ip_country                               | IP Country                               | string          | conversioninformation
ip_country_code                          | IP Country Code                          | string          | conversioninformation
ip_latlon                                | IP Latitude & Longitude                  | string          | conversioninformation
ip_state                                 | IP State/Region                          | string          | conversioninformation
ip_state_code                            | IP State Code/Region Code                | string          | conversioninformation
ip_zipcode                               | IP Zipcode                               | string          | conversioninformation
job_function                             | Job function                             | string          | facebook_ads_properties
jobtitle                                 | Job Title                                | string          | contactinformation
kloutscoregeneral                        | Klout Score                              | number          | socialmediainformation
lastmodifieddate                         | Last Modified Date                       | datetime        | contactinformation
lastname                                 | Last Name                                | string          | contactinformation
lead_calificado___no_interesado          | Lead calificado - No interesado          | enumeration     | conversioninformation
lifecyclestage                           | Lifecycle Stage                          | enumeration     | contactinformation
linkedinbio                              | LinkedIn Bio                             | string          | socialmediainformation
linkedinconnections                      | LinkedIn Connections                     | number          | socialmediainformation
llamada_ia_concretada                    | Llamada IA concretada                    | enumeration     | contactinformation
marital_status                           | Marital Status                           | string          | facebook_ads_properties
medio_de_comercializacion                | Medio de comercialización               | string          | contactinformation
medios_banos                             | Medios baños                            | number          | contactinformation
mencinanos_cul_es_tu_tipo_de_financiamie | Menciónanos cuál es tu tipo de financi | string          | lead_ads
message                                  | Message                                  | string          | contact_activity
military_status                          | Military status                          | string          | facebook_ads_properties
mobilephone                              | Mobile Phone Number                      | string          | contactinformation
monto_de_apartado                        | Apartado realizado                       | enumeration     | contactinformation
motivo_de_cierre                         | Estatus de lead                          | enumeration     | contactinformation
motivo_de_compra                         | Motivo de compra                         | string          | contactinformation
motivo_de_la_llamada                     | Motivo de la llamada                     | enumeration     | contactinformation
motivo_de_la_venta                       | Motivo de la venta                       | enumeration     | contactinformation
negocio_tipo                             | negocio_tipo                             | enumeration     | contactinformation
niveles_casa                             | Niveles Casa                             | number          | contactinformation
nombre_de_asesor                         | Nombre de asesor                         | string          | contactinformation
nombre_del_desarrollo                    | Nombre del desarrollo                    | enumeration     | conversioninformation
nombre_del_referido                      | Nombre del referido                      | string          | contactinformation
notes_last_contacted                     | Last Contacted                           | datetime        | contact_activity
notes_last_updated                       | Last Activity Date                       | datetime        | contact_activity
notes_next_activity_date                 | Next Activity Date                       | datetime        | contact_activity
num_associated_deals                     | Number of Associated Deals               | number          | deal_information
num_contacted_notes                      | Number of times contacted                | number          | contact_activity
num_conversion_events                    | Number of Form Submissions               | number          | conversioninformation
num_notes                                | Number of Sales Activities               | number          | contact_activity
num_unique_conversion_events             | Number of Unique Forms Submitted         | number          | conversioninformation
numemployees                             | Number of Employees                      | enumeration     | contactinformation
numero_exterior                          | Número Exterior                         | number          | contactinformation
owneremail                               | HubSpot Owner Email (legacy)             | string          | sales_properties
ownername                                | HubSpot Owner Name (legacy)              | string          | sales_properties
phone                                    | Phone Number                             | string          | contactinformation
photo                                    | Photo                                    | string          | socialmediainformation
piso_departamento                        | Piso Departamento                        | number          | contactinformation
precio_estimado                          | Precio estimado                          | number          | contactinformation
precio_modelo___ai                       | Precio Modelo - AI                       | string          | contactinformation
presupuesto__credito_                    | Presupuesto (crédito)                   | number          | contactinformation
presupuesto_disponible_aproximado        | Presupuesto disponible aproximado        | string          | lead_ads
propiedad_de_interes                     | Propiedad de interés                    | string          | contactinformation
qu_ests_buscando__casa_o__departamento   | ¿Qué estás buscando? 🏠 Casa o 🏢 | string          | lead_ads
qu_tipo_de_vivienda_buscas               | ¿Qué tipo de vivienda buscas?          | string          | lead_ads
que_tipo_de_credito_                     | ¿Qué tipo de crédito?                 | enumeration     | contactinformation
rango_de_edad                            | Rango de edad                            | enumeration     | contactinformation
recamaras                                | Recámaras                               | number          | contactinformation
recent_conversion_date                   | Recent Conversion Date                   | datetime        | conversioninformation
recent_conversion_event_name             | Recent Conversion                        | string          | conversioninformation
recent_deal_amount                       | Recent Deal Amount                       | number          | deal_information
recent_deal_close_date                   | Recent Deal Close Date                   | datetime        | deal_information
recibo_predial                           | Recibo predial                           | enumeration     | contactinformation
relationship_status                      | Relationship Status                      | string          | facebook_ads_properties
salutation                               | Saludo                                   | string          | contactinformation
school                                   | School                                   | string          | facebook_ads_properties
se_tuvo_respuesta_de_cliente             | ¿Se tuvo respuesta de cliente?*         | enumeration     | contactinformation
seniority                                | Seniority                                | string          | facebook_ads_properties
start_date                               | Start date                               | string          | facebook_ads_properties
state                                    | State/Region                             | string          | contactinformation
superficie_habitable                     | Superficie Habitable                     | number          | contactinformation
surveymonkeyeventlastupdated             | SurveyMonkey Event Last Updated          | number          | contactinformation
telefono_asesor                          | telefono_asesor                          | string          | contactinformation
terraza_y_o_jardin                       | Terraza y/o jardín                      | enumeration     | contactinformation
tiempo_estimado_para_compra              | Tiempo estimado para compra              | enumeration     | contactinformation
tipo_de_hipoteca                         | Tipo de hipoteca                         | enumeration     | contactinformation
tipo_de_inmueble_                        | Tipo de inmueble                         | enumeration     | contactinformation
tipo_del_referido                        | Tipo del referido                        | enumeration     | contactinformation
total_revenue                            | Total Revenue                            | number          | deal_information
twitterbio                               | Twitter Bio                              | string          | socialmediainformation
twitterhandle                            | Twitter Username                         | string          | contactinformation
twitterprofilephoto                      | Twitter Profile Photo                    | string          | socialmediainformation
uen                                      | UEN                                      | enumeration     | contactinformation
unidad_de_venta                          | Unidad de Venta                          | enumeration     | contactinformation
url_cita                                 | url_cita                                 | string          | contactinformation
valor                                    | Valor                                    | number          | contactinformation
waid                                     | Whatsapp Phone Number                    | string          | getchat
webinareventlastupdated                  | Webinar Event Last Updated               | number          | contactinformation
website                                  | Website URL                              | string          | contactinformation
work_email                               | Work email                               | string          | facebook_ads_properties
xante_id                                 | Xante ID                                 | number          | contactinformation
zip                                      | Postal Code                              | string          | contactinformation


===============================================================
  DEALS (Negocios)
===============================================================

Total propiedades: 471
  - Propiedades por defecto: 471
  - Propiedades custom: 0

PROPIEDADES POR DEFECTO:
------------------------------------------------
NOMBRE INTERNO (API)                     | ETIQUETA (LABEL)                         | TIPO            | GRUPO
------------------------------------------------
acuse_de_descuento                       | Acuse de descuento                       | enumeration     | dealinformation
amount                                   | Amount                                   | number          | deal_revenue
amount_in_home_currency                  | Amount in company currency               | number          | deal_revenue
antiguedad_en_anos                       | Antigüedad en años                     | number          | dealinformation
bancario_tipo_de_financiamiento          | Bancario-Tipo de financiamiento          | enumeration     | dealinformation
banos                                    | Baños*                                  | number          | dealinformation
calle_o_privada_                         | Calle / Privada y Número # *            | string          | dealinformation
ciudad                                   | Ciudad*                                  | string          | dealinformation
closed_lost_reason                       | Closed Lost Reason                       | string          | deal_activity
closed_won_reason                        | Closed Won Reason                        | string          | deal_activity
closedate                                | Close Date                               | datetime        | dealinformation
colonia                                  | colonia                                  | string          | dealinformation
confirmacion_por_notaria                 | Confirmación por notaría               | date            | dealinformation
contacto_registrado_es_titular_de_la_viv | Contacto registrado es titular de la viv | enumeration     | dealinformation
createdate                               | Create Date                              | datetime        | dealinformation
cuenta_con_diferencia____                | Cuenta con diferencia ($)                | enumeration     | dealinformation
cuenta_con_equipo                        | Cuenta con equipo*                       | enumeration     | dealinformation
days_to_close                            | Days to close                            | number          | dealinformation
de_aceptacion_a_integracion              | De aceptación a integración            | number          | dealinformation
de_aceptacion_de_la_oferta_a_hoy         | De aceptación de la oferta a hoy        | date            | dealinformation
de_aceptacion_de_oferta_a_hoy            | De aceptación de oferta a hoy           | date            | dealinformation
de_aceptacion_de_oferta_a_recepcion_de_v | De aceptación de oferta a recepción de | number          | dealinformation
de_apartado_a_entrega_de_expediente      | De apartado a entrega de expediente      | number          | dealinformation
de_apartado_a_entrega_de_expediente_basi | De apartado a entrega de expediente bás | number          | dealinformation
de_avaluo_a_instruccion                  | De avalúo a instrucción                | number          | dealinformation
de_cierre_de_avaluo_a_inscrpcion         | De cierre de avalúo a inscrpción       | number          | dealinformation
de_cobro_a_entrega                       | De cobro a entrega                       | number          | dealinformation
de_entrega_a_validacion_de_expediente    | De entrega a validación de expediente   | number          | dealinformation
de_entrega_a_validacion_de_expediente___ | De entrega a validación de expediente.  | number          | dealinformation
de_envio_a_aceptacion_de_oferta          | De envío a aceptación de oferta        | number          | dealinformation
de_esc_a_titulacion                      | De ESC a Titulación                     | number          | dealinformation
de_exp_compl__a_notaria                  | De exp compl. a Notaría                 | number          | dealinformation
de_expediente_a_solicitud_de_avaluo      | De expediente a solicitud de avalúo     | number          | dealinformation
de_inscripcion_a_expediente_en_notaria   | De inscripción a expediente en Notaría | number          | dealinformation
de_inscripcion_a_numeros_finales         | De inscripción a números finales       | number          | dealinformation
de_instruccion_notarial_a_firma_de_escri | De Instrucción Notarial a firma de escr | number          | dealinformation
de_integracion_a_vo_bo_                  | De integración a vo.bo.                 | number          | dealinformation
de_numeros_fin__a_esc                    | De números fin. a ESC                   | number          | dealinformation
de_solicitud_a_cierre_de_avaluo          | De solicitud a cierre de avalúo         | number          | dealinformation
de_solicitud_a_entrega_de_avaluo         | De solicitud a entrega de avalúo        | number          | dealinformation
de_titulacion_a_cobro                    | De Titulación a cobro                   | number          | dealinformation
de_validacion_de_expediente_a_solicitud_ | De validación de expediente a solicitud | number          | dealinformation
de_vo_bo__a_confirmacion_de_notaria      | De vo.bo. a confirmación de Notaría    | number          | dealinformation
deal_currency_code                       | Currency                                 | enumeration     | deal_revenue
dealname                                 | Deal Name                                | string          | dealinformation
dealstage                                | Deal Stage                               | enumeration     | deal_activity
dealtype                                 | Deal Type                                | enumeration     | dealinformation
description                              | Deal Description                         | string          | dealinformation
dias_en_lp___de_apartado_a_hoy_          | Días en LP  (De apartado a hoy)         | date            | dealinformation
documento_aviso_de_privacidad__2_        | Aviso de Privacidad (2)                  | enumeration     | dealinformation
documento_caratula_estado_de_cuenta__mes | Carátula Estado de Cuenta (mes corrient | enumeration     | dealinformation
documento_comprobante_de_domicilio__mes_ | Comprobante de domicilio (mes corriente) | enumeration     | dealinformation
documento_constancia_de_situacion_fiscal | Constancia de Situación Fiscal (mes cor | enumeration     | dealinformation
documento_curp__mes_corriente_           | CURP (mes corriente)                     | enumeration     | dealinformation
documento_deposito_de_apartado           | Deposito de apartado                     | enumeration     | dealinformation
documento_ficha_tecnica                  | Ficha Técnica                           | enumeration     | dealinformation
documento_formato_de_identificacion_del_ | Formato de identificación del cliente   | enumeration     | dealinformation
documento_identificacion_oficial_ine__pa | Identificación oficial-INE, Pasaporte y | enumeration     | dealinformation
documento_instruccion_de_credito         | Instrucción de crédito                 | enumeration     | dealinformation
documento_solicitud_de_apartado          | Solicitud de apartado                    | enumeration     | dealinformation
engagements_last_meeting_booked          | Date of last meeting booked in meetings  | datetime        | deal_activity
engagements_last_meeting_booked_campaign | Campaign of last booking in meetings too | string          | deal_activity
engagements_last_meeting_booked_medium   | Medium of last booking in meetings tool  | string          | deal_activity
engagements_last_meeting_booked_source   | Source of last booking in meetings tool  | string          | deal_activity
entrega_euc                              | Entrega EUC                              | enumeration     | dealinformation
equipamiento                             | Equipamiento                             | enumeration     | dealinformation
escritura_completa_y_visible             | Escritura completa y visible             | enumeration     | dealinformation
estacionamientos                         | Estacionamientos*                        | number          | dealinformation
estado                                   | Estado                                   | string          | deal_activity
estado_de_cuenta_hipotecario             | Estado de cuenta hipotecario             | enumeration     | dealinformation
estatus_de_convenio                      | Estatus de convenio                      | enumeration     | dealinformation
estatus_de_oferta                        | Estatus de oferta                        | enumeration     | dealinformation
estatus_del_comite                       | Estatus del Comité                      | enumeration     | dealinformation
estatus_del_negocio                      | Estatus del negocio                      | enumeration     | dealinformation
fase                                     | Fase                                     | enumeration     | dealinformation
fecha_aceptacion_oferta                  | Fecha aceptación oferta                 | date            | dealinformation
fecha_cierre_avaluo                      | Fecha cierre avalúo                     | datetime        | dealinformation
fecha_confirmacion_de_escrituras         | Fecha tentativa para firma               | date            | dealinformation
fecha_de_apartado                        | Fecha de apartado                        | date            | dealinformation
fecha_de_cobro                           | Fecha de cobro                           | date            | dealinformation
fecha_de_cobro_de_vivienda               | Fecha de cobro de vivienda               | date            | dealinformation
fecha_de_entrega_de_expediente           | Fecha de entrega de expediente           | date            | dealinformation
fecha_de_envio_de_expediente_completo_a_ | Fecha de envío de expediente completo a | date            | dealinformation
fecha_de_envio_de_oferta                 | Fecha de envío de oferta                | date            | dealinformation
fecha_de_escritura_cliente_fi_           | Fecha de escritura cliente FI*           | date            | dealinformation
fecha_de_firma_y_recepcion_de_vivienda   | Fecha de firma y recepción de vivienda  | date            | dealinformation
fecha_de_inscripcion_y_o_constancia_de_c | Fecha de inscripción y/o constancia de  | date            | dealinformation
fecha_de_realizacion_avaluo              | Fecha de realización avalúo            | date            | dealinformation
fecha_de_solicitud_de_avaluo             | Fecha de solicitud de avalúo y CLG      | date            | dealinformation
fecha_de_solicitud_de_clg                | Fecha de solicitud de CLG                | date            | dealinformation
fecha_de_validacion_de_expediente_comple | Fecha de Validación De Expediente Compl | date            | dealinformation
fecha_entrega_de_vivienda                | Fecha entrega de vivienda                | date            | dealinformation
fecha_envio_contraoferta                 | Fecha envío contraoferta                | date            | dealinformation
fecha_firma_convenio                     | Fecha firma convenio                     | date            | dealinformation
fecha_firma_de_convenio                  | Fecha firma de convenio                  | date            | dealinformation
fecha_firma_de_escritura                 | Fecha firma de escritura                 | date            | dealinformation
fecha_integracion_expediente             | Fecha integración expediente            | date            | dealinformation
fecha_tentativa_para_firma               | Fecha confirmación compra               | date            | dealinformation
fecha_titulacion___conf__notaria         | Fecha titulación / conf. notaría       | datetime        | dealinformation
fecharegistro                            | Fecharegistro                            | date            | dealinformation
forma_de_pago                            | Forma de pago                            | string          | dealinformation
fovissste_tipo_de_financiamiento         | Fovissste-Tipo de financiamiento         | enumeration     | dealinformation
hipotecada                               | Hipotecada*                              | enumeration     | dealinformation
hs_actual_duration                       | Actual duration                          | number          | dealinformation
hs_acv                                   | Annual contract value                    | number          | deal_revenue
hs_all_accessible_team_ids               | All teams                                | enumeration     | dealinformation
hs_all_assigned_business_unit_ids        | Brands                                   | enumeration     | dealinformation
hs_all_collaborator_owner_ids            | Deal Collaborator                        | enumeration     | dealinformation
hs_all_deal_split_owner_ids              | Deal Split Users                         | enumeration     | dealinformation
hs_all_owner_ids                         | All owner IDs                            | enumeration     | dealinformation
hs_all_team_ids                          | All team IDs                             | enumeration     | dealinformation
hs_analytics_latest_source               | Latest Traffic Source                    | enumeration     | analyticsinformation
hs_analytics_latest_source_company       | Latest Traffic Source Company            | enumeration     | analyticsinformation
hs_analytics_latest_source_contact       | Latest Traffic Source Contact            | enumeration     | analyticsinformation
hs_analytics_latest_source_data_1        | Latest Traffic Source Data 1             | string          | analyticsinformation
hs_analytics_latest_source_data_1_compan | Latest Traffic Source Data 1 Company     | string          | analyticsinformation
hs_analytics_latest_source_data_1_contac | Latest Traffic Source Data 1 Contact     | string          | analyticsinformation
hs_analytics_latest_source_data_2        | Latest Traffic Source Data 2             | string          | analyticsinformation
hs_analytics_latest_source_data_2_compan | Latest Traffic Source Data 2 Company     | string          | analyticsinformation
hs_analytics_latest_source_data_2_contac | Latest Traffic Source Data 2 Contact     | string          | analyticsinformation
hs_analytics_latest_source_timestamp     | Latest Traffic Source Timestamp          | datetime        | analyticsinformation
hs_analytics_latest_source_timestamp_com | Latest Traffic Source Timestamp Company  | datetime        | analyticsinformation
hs_analytics_latest_source_timestamp_con | Latest Traffic Source Timestamp Contact  | datetime        | analyticsinformation
hs_analytics_source                      | Original Traffic Source                  | enumeration     | analyticsinformation
hs_analytics_source_data_1               | Original Traffic Source Drill-Down 1     | string          | analyticsinformation
hs_analytics_source_data_2               | Original Traffic Source Drill-Down 2     | string          | analyticsinformation
hs_arr                                   | Annual recurring revenue                 | number          | deal_revenue
hs_associated_deal_registration_deal_typ | Associated Shared Deal Type              | enumeration     | deal_activity
hs_associated_deal_registration_product_ | Associated Shared Deal Product Interests | enumeration     | deal_activity
hs_attributed_team_ids                   | Attributed reporting team                | enumeration     | dealinformation
hs_average_call_duration                 | Average call duration                    | number          | predictive_deal_score_feature_
hs_average_deal_owner_duration_in_curren | Average Deal Owner Duration In Current S | number          | dealscripted
hs_campaign                              | HubSpot Campaign                         | string          | dealinformation
hs_closed_amount                         | Closed Deal Amount                       | number          | dealinformation
hs_closed_amount_in_home_currency        | Closed deal amount in home currency      | number          | dealinformation
hs_closed_deal_close_date                | Closed Deal Close Date                   | number          | dealscripted
hs_closed_deal_create_date               | Closed Deal Create Date                  | number          | dealscripted
hs_closed_won_count                      | Closed won count                         | number          | dealinformation
hs_closed_won_date                       | Closed Won Date (Internal)               | datetime        | dealinformation
hs_created_by_user_id                    | Created by user ID                       | number          | dealinformation
hs_createdate                            | HubSpot Create Date                      | datetime        | dealinformation
hs_cross_sell_opportunity                | Cross-sell Opportunity                   | bool            | multiaccountmanagement
hs_date_entered_28696744                 | Date entered 'Validación Del Expediente | datetime        | deal_activity
hs_date_entered_28698255                 | Date entered 'Oferta Enviada (Xante Embu | datetime        | deal_activity
hs_date_entered_30519634                 | Date entered 'Firma de contrato y poder  | datetime        | deal_activity
hs_date_entered_31248046                 | Date entered 'PI Por Autorizar (Xante Em | datetime        | deal_activity
hs_date_entered_31248047                 | Date entered 'Cita para firma y recepci� | datetime        | deal_activity
hs_date_entered_38447451                 | Date entered 'Oferta no autorizada (Xant | datetime        | deal_activity
hs_date_entered_38447452                 | Date entered 'Oferta aceptada (Xante Emb | datetime        | deal_activity
hs_date_entered_38447453                 | Date entered 'Vivienda no disponible (Xa | datetime        | deal_activity
hs_date_entered_38470265                 | Date entered 'Firma de acuerdo de comerc | datetime        | deal_activity
hs_date_entered_70675091                 | Date entered 'Visita Técnica (Pipeline  | datetime        | deal_activity
hs_date_entered_70675092                 | Date entered 'En Comité (Pipeline Xante | datetime        | deal_activity
hs_date_entered_70675093                 | Date entered 'Oferta Enviada (Pipeline X | datetime        | deal_activity
hs_date_entered_70675094                 | Date entered 'Validación jurídica (Pip | datetime        | deal_activity
hs_date_entered_70675096                 | Date entered 'Ganado: Compras y Convenio | datetime        | deal_activity
hs_date_entered_70675097                 | Date entered 'Perdidos: Vivienda rechaza | datetime        | deal_activity
hs_date_entered_70675101                 | Date entered 'Perdidos: Vivienda no disp | datetime        | deal_activity
hs_date_entered_76299031                 | Date entered 'Apartada (Pipeline Xante ( | datetime        | deal_activity
hs_date_entered_76299035                 | Date entered 'Ganada escriturada (Pipeli | datetime        | deal_activity
hs_date_entered_76355457                 | Date entered 'Perdido: Venta cancelada ( | datetime        | deal_activity
hs_date_entered_84258662                 | Date entered 'Validación de expediente  | datetime        | deal_activity
hs_date_entered_84258663                 | Date entered 'Avalúo (Pipeline Xante (f | datetime        | deal_activity
hs_date_entered_84258664                 | Date entered 'Inscripción del crédito  | datetime        | deal_activity
hs_date_entered_84258665                 | Date entered 'En Notaría (Pipeline Xant | datetime        | deal_activity
hs_date_exited_28696744                  | Date exited 'Validación Del Expediente  | datetime        | deal_activity
hs_date_exited_28698255                  | Date exited 'Oferta Enviada (Xante Embud | datetime        | deal_activity
hs_date_exited_30519634                  | Date exited 'Firma de contrato y poder ( | datetime        | deal_activity
hs_date_exited_31248046                  | Date exited 'PI Por Autorizar (Xante Emb | datetime        | deal_activity
hs_date_exited_31248047                  | Date exited 'Cita para firma y recepció | datetime        | deal_activity
hs_date_exited_38447451                  | Date exited 'Oferta no autorizada (Xante | datetime        | deal_activity
hs_date_exited_38447452                  | Date exited 'Oferta aceptada (Xante Embu | datetime        | deal_activity
hs_date_exited_38447453                  | Date exited 'Vivienda no disponible (Xan | datetime        | deal_activity
hs_date_exited_38470265                  | Date exited 'Firma de acuerdo de comerci | datetime        | deal_activity
hs_date_exited_70675091                  | Date exited 'Visita Técnica (Pipeline X | datetime        | deal_activity
hs_date_exited_70675092                  | Date exited 'En Comité (Pipeline Xante  | datetime        | deal_activity
hs_date_exited_70675093                  | Date exited 'Oferta Enviada (Pipeline Xa | datetime        | deal_activity
hs_date_exited_70675094                  | Date exited 'Validación jurídica (Pipe | datetime        | deal_activity
hs_date_exited_70675096                  | Date exited 'Ganado: Compras y Convenios | datetime        | deal_activity
hs_date_exited_70675097                  | Date exited 'Perdidos: Vivienda rechazad | datetime        | deal_activity
hs_date_exited_70675101                  | Date exited 'Perdidos: Vivienda no dispo | datetime        | deal_activity
hs_date_exited_76299031                  | Date exited 'Apartada (Pipeline Xante (f | datetime        | deal_activity
hs_date_exited_76299035                  | Date exited 'Ganada escriturada (Pipelin | datetime        | deal_activity
hs_date_exited_76355457                  | Date exited 'Perdido: Venta cancelada (P | datetime        | deal_activity
hs_date_exited_84258662                  | Date exited 'Validación de expediente ( | datetime        | deal_activity
hs_date_exited_84258663                  | Date exited 'Avalúo (Pipeline Xante (fa | datetime        | deal_activity
hs_date_exited_84258664                  | Date exited 'Inscripción del crédito ( | datetime        | deal_activity
hs_date_exited_84258665                  | Date exited 'En Notaría (Pipeline Xante | datetime        | deal_activity
hs_days_to_close_raw                     | Days to close (without rounding)         | number          | dealinformation
hs_deal_amount_calculation_preference    | Deal amount calculation preference       | enumeration     | dealinformation
hs_deal_registration_mrr                 | HubSpot Shared Deal MRR                  | number          | deal_activity
hs_deal_registration_mrr_currency_code   | HubSpot Shared Deal MRR Currency Code    | enumeration     | deal_activity
hs_deal_score                            | Deal Score                               | number          | dealinformation
hs_deal_stage_probability                | Deal probability                         | number          | dealinformation
hs_deal_stage_probability_shadow         | Deal stage probability shadow            | number          | dealinformation
hs_exchange_rate                         | Exchange rate                            | number          | deal_revenue
hs_forecast_amount                       | Forecast amount                          | number          | dealinformation
hs_forecast_probability                  | Forecast probability                     | number          | dealinformation
hs_has_empty_conditional_stage_propertie | Has Empty Conditional Stage Properties   | bool            | dealinformation
hs_has_last_meeting_followups            | Has Last Meeting Follow Ups              | bool            | deal_activity
hs_is_active_shared_deal                 | Is Active Shared Deal                    | bool            | deal_activity
hs_is_closed                             | Is Deal Closed?                          | bool            | dealinformation
hs_is_closed_count                       | Is Closed (numeric)                      | number          | dealinformation
hs_is_closed_lost                        | Is closed lost                           | bool            | deal_activity
hs_is_closed_won                         | Is Closed Won                            | bool            | deal_activity
hs_is_deal_split                         | Deal Split Added                         | bool            | dealinformation
hs_is_in_first_deal_stage                | Is In First Deal Stage                   | bool            | dealinformation
hs_is_open_count                         | Is Open (numeric)                        | number          | dealinformation
hs_is_stalled                            | Is Stalled                               | bool            | dealscripted
hs_is_stalled_after_timestamp            | Is Stalled After Timestamp               | datetime        | dealscripted
hs_last_call_id_with_followups           | Last call ID with followups              | number          | deal_activity
hs_last_meeting_id_with_followups        | Last meeting ID with followups           | number          | deal_activity
hs_lastmodifieddate                      | Last Modified Date                       | datetime        | deal_activity
hs_latest_approval_status                | Latest Approval Status                   | string          | deal_activity
hs_latest_approval_status_approval_id    | Latest Approval Status Approval ID       | number          | deal_activity
hs_latest_marketing_email_click_date     | Latest marketing email click date        | datetime        | predictive_deal_score_feature_
hs_latest_marketing_email_open_date      | Latest marketing email open date         | datetime        | predictive_deal_score_feature_
hs_latest_marketing_email_reply_date     | Latest marketing email reply date        | datetime        | predictive_deal_score_feature_
hs_latest_meeting_activity               | Latest meeting activity                  | datetime        | dealinformation
hs_latest_sales_email_click_date         | Latest sales email click date            | datetime        | predictive_deal_score_feature_
hs_latest_sales_email_open_date          | Latest sales email open date             | datetime        | predictive_deal_score_feature_
hs_latest_sales_email_reply_date         | Latest sales email reply date            | datetime        | predictive_deal_score_feature_
hs_likelihood_to_close                   | Likelihood to close by the close date    | number          | dealinformation
hs_line_item_global_term_hs_discount_per | Global Term Line Item Discount Percentag | string          | dealinformation
hs_line_item_global_term_hs_discount_per | Global Term Line Item Discount Percentag | bool            | dealinformation
hs_line_item_global_term_hs_recurring_bi | Global Term Line Item Recurring Billing  | string          | dealinformation
hs_line_item_global_term_hs_recurring_bi | Global Term Line Item Recurring Billing  | bool            | dealinformation
hs_line_item_global_term_hs_recurring_bi | Global Term Line Item Recurring Billing  | string          | dealinformation
hs_line_item_global_term_hs_recurring_bi | Global Term Line Item Recurring Billing  | bool            | dealinformation
hs_line_item_global_term_recurringbillin | Global Term Line Item Recurring Billing  | string          | dealinformation
hs_line_item_global_term_recurringbillin | Global Term Line Item Recurring Billing  | bool            | dealinformation
hs_manual_campaign_ids                   | Manual campaign ids                      | number          | dealinformation
hs_manual_forecast_category              | Forecast category                        | enumeration     | dealinformation
hs_merged_object_ids                     | Merged Deal IDs                          | enumeration     | dealinformation
hs_mrr                                   | Monthly recurring revenue                | number          | deal_revenue
hs_net_pipeline_impact                   | Net Pipeline Impact                      | number          | deal_activity
hs_next_meeting_id                       | Next Meeting                             | number          | dealinformation
hs_next_meeting_name                     | Next Meeting Name                        | string          | dealinformation
hs_next_meeting_start_time               | Next Meeting Start Time                  | datetime        | dealinformation
hs_next_step                             | Next step                                | string          | dealinformation
hs_next_step_updated_at                  | Next Step Updated At                     | datetime        | dealinformation
hs_notes_last_activity                   | Last Activity                            | object_coordina | dealinformation
hs_notes_next_activity                   | Next Activity                            | object_coordina | dealinformation
hs_notes_next_activity_type              | Next Activity Type                       | enumeration     | dealinformation
hs_num_associated_active_deal_registrati | Number of Active Deal Registrations      | number          | deal_activity
hs_num_associated_deal_registrations     | Number of Deal Registrations             | number          | deal_activity
hs_num_associated_deal_splits            | Number of Deal Splits                    | number          | deal_activity
hs_num_of_associated_line_items          | Number of Associated Line Items          | number          | dealinformation
hs_num_target_accounts                   | Number of target accounts                | number          | dealinformation
hs_number_of_call_engagements            | Number of call engagements               | number          | predictive_deal_score_feature_
hs_number_of_inbound_calls               | Number of inbound calls                  | number          | predictive_deal_score_feature_
hs_number_of_outbound_calls              | Number of outbound calls                 | number          | predictive_deal_score_feature_
hs_number_of_overdue_tasks               | Number of overdue tasks                  | number          | predictive_deal_score_feature_
hs_number_of_scheduled_meetings          | Number of scheduled meetings             | number          | predictive_deal_score_feature_
hs_object_id                             | Record ID                                | number          | dealinformation
hs_object_source                         | Record creation source                   | string          | dealinformation
hs_object_source_detail_1                | Record source detail 1                   | string          | dealinformation
hs_object_source_detail_2                | Record source detail 2                   | string          | dealinformation
